site_name	title	company	record	area	link
잡코리아	System Engineer(Seoul)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46502198?Oem_Code=C1&sc=212
잡코리아	데이터 파이프라인 백엔드 엔지니어(서울)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46501944?Oem_Code=C1&sc=212
잡코리아	3D Graphics 개발자	(주)이우소프트	개발·데이터	서울 서초구 외 1	https://www.jobkorea.co.kr/Recruit/GI_Read/46500550?Oem_Code=C1&sc=212
잡코리아	백엔드 개발자 (3년이상)	㈜씨드앤	개발·데이터	서울 성동구	https://www.jobkorea.co.kr/Recruit/GI_Read/46499832?Oem_Code=C1&sc=212
잡코리아	데이터 엔지니어 (3년이상)	㈜씨드앤	개발·데이터	서울 성동구	https://www.jobkorea.co.kr/Recruit/GI_Read/46499369?Oem_Code=C1&sc=212
잡코리아	클라우드/가상화 관리 시스템 백엔드 개발자	나무기술㈜	개발·데이터	서울 강서구	https://www.jobkorea.co.kr/Recruit/GI_Read/46498609?Oem_Code=C1&sc=212
잡코리아	Business Data Analyst	엔카닷컴㈜	개발·데이터	서울 중구	https://www.jobkorea.co.kr/Recruit/GI_Read/46497912?Oem_Code=C1&sc=212
잡코리아	3D Mesh Processing 개발자	(주)이우소프트	개발·데이터	서울 서초구 외 1	https://www.jobkorea.co.kr/Recruit/GI_Read/46489685?Oem_Code=C1&sc=212
잡코리아	ERP 개발자 및 시스템 관리자	피엠인터내셔널코리아(유)	개발·데이터	서울 영등포구	https://www.jobkorea.co.kr/Recruit/GI_Read/46480916?Oem_Code=C1&sc=212
잡코리아	풀스텍 개발자	㈜폴싯	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46475638?Oem_Code=C1&sc=212
잡코리아	IT 기획자	오로라월드㈜	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46472650?Oem_Code=C1&sc=212
잡코리아	소프트웨어 개발 및 유지보수	㈜유니온커뮤니티	개발·데이터	서울 송파구	https://www.jobkorea.co.kr/Recruit/GI_Read/46440820?Oem_Code=C1&sc=212
잡코리아	Andriod 개발 및 유지보수	㈜유니온커뮤니티	개발·데이터	서울 송파구	https://www.jobkorea.co.kr/Recruit/GI_Read/46440743?Oem_Code=C1&sc=212
잡코리아	Linux / Android BSP 개발	㈜유니온커뮤니티	개발·데이터	서울 송파구	https://www.jobkorea.co.kr/Recruit/GI_Read/46440611?Oem_Code=C1&sc=212
잡코리아	RTOS F/W 개발	㈜유니온커뮤니티	개발·데이터	서울 송파구	https://www.jobkorea.co.kr/Recruit/GI_Read/46440247?Oem_Code=C1&sc=212
잡코리아	정보보호 엔지니어	㈜엘리스	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46438069?Oem_Code=C1&sc=212
잡코리아	QA 엔지니어	㈜와탭랩스	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46400146?Oem_Code=C1&sc=212
잡코리아	웹개발 Front-End/Back-End	㈜비스텔리젼스	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46392025?Oem_Code=C1&sc=212
잡코리아	ApplicationSever/Client개발	㈜비스텔리젼스	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46391977?Oem_Code=C1&sc=212
잡코리아	응용소프트웨어 개발 (경력)	㈜상화	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46378821?Oem_Code=C1&sc=212
잡코리아	[BANDI SNC] 솔루션 개발자	반디에스앤씨㈜	개발·데이터	서울 성동구	https://www.jobkorea.co.kr/Recruit/GI_Read/46370783?Oem_Code=C1&sc=212
잡코리아	[삼성 계열사 씨브이네트] 백엔드 서버/보안	㈜씨브이네트	개발·데이터	서울 송파구	https://www.jobkorea.co.kr/Recruit/GI_Read/46504438?Oem_Code=C1&sc=212
잡코리아	SW System Engineer(Seoul)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46503140?Oem_Code=C1&sc=212
잡코리아	Cybersecurity Manager	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46503082?Oem_Code=C1&sc=212
잡코리아	A-SPICE Quality Manager	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46503012?Oem_Code=C1&sc=212
잡코리아	Frontend Engineer(Seoul)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46502968?Oem_Code=C1&sc=212
잡코리아	시니어 Requirement 엔지니어 (서울)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46502883?Oem_Code=C1&sc=212
잡코리아	SAP ERP 운영담당자(Seoul)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46502840?Oem_Code=C1&sc=212
잡코리아	알고리즘 엔지니어, 3D 컴퓨터 비전 (서울)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46502676?Oem_Code=C1&sc=212
잡코리아	[CJ그룹사] CRM 컨설팅 컨설턴트 경력직	㈜디엑스이	개발·데이터	서울 중구 외 1	https://www.jobkorea.co.kr/Recruit/GI_Read/46485217?Oem_Code=C1&sc=212
잡코리아	컨슈머 커머스 CTO 검색엔진 개발 경력	㈜커넥트웨이브	개발·데이터	서울 금천구	https://www.jobkorea.co.kr/Recruit/GI_Read/46484283?Oem_Code=C1&sc=212
잡코리아	[골프 IT 서비스 기업] 풀스택 개발자	㈜그린잇	개발·데이터	서울 용산구	https://www.jobkorea.co.kr/Recruit/GI_Read/46483775?Oem_Code=C1&sc=212
잡코리아	Software Engineer (프론트엔드)	㈜부스터스	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46477584?Oem_Code=C1&sc=212
잡코리아	PG 플랫폼 개발	㈜엑심베이	개발·데이터	서울 구로구	https://www.jobkorea.co.kr/Recruit/GI_Read/46437611?Oem_Code=C1&sc=212
잡코리아	Linux APP 개발	㈜유니온커뮤니티	개발·데이터	서울 송파구	https://www.jobkorea.co.kr/Recruit/GI_Read/46440461?Oem_Code=C1&sc=212
잡코리아	SW개발자 (USB Device SDK 개발)	㈜엑스페릭스	개발·데이터	서울 송파구	https://www.jobkorea.co.kr/Recruit/GI_Read/46433744?Oem_Code=C1&sc=212
잡코리아	바이오인식 / 딥러닝 / OCR 알고리즘 개발	㈜엑스페릭스	개발·데이터	서울 송파구	https://www.jobkorea.co.kr/Recruit/GI_Read/46433718?Oem_Code=C1&sc=212
잡코리아	DevOps 엔지니어	토르드라이브	개발·데이터	서울 영등포구	https://www.jobkorea.co.kr/Recruit/GI_Read/46432699?Oem_Code=C1&sc=212
잡코리아	FMS 설계 및 개발 소프트웨어 엔지니어	토르드라이브	개발·데이터	서울 영등포구	https://www.jobkorea.co.kr/Recruit/GI_Read/46432684?Oem_Code=C1&sc=212
잡코리아	시니어 소프트웨어 엔지니어 (임베디드 AI)	토르드라이브	개발·데이터	서울 영등포구	https://www.jobkorea.co.kr/Recruit/GI_Read/46432654?Oem_Code=C1&sc=212
잡코리아	시니어 소프트웨어 엔지니어 Perception	토르드라이브	개발·데이터	서울 영등포구	https://www.jobkorea.co.kr/Recruit/GI_Read/46432647?Oem_Code=C1&sc=212
잡코리아	Simulation Software 엔지니어	토르드라이브	개발·데이터	서울 영등포구	https://www.jobkorea.co.kr/Recruit/GI_Read/46432641?Oem_Code=C1&sc=212
잡코리아	Data Engineer/DBA (경력)	㈜메타넷티플랫폼	개발·데이터	서울 강남구 외 1	https://www.jobkorea.co.kr/Recruit/GI_Read/46419615?Oem_Code=C1&sc=212
잡코리아	[F&B with AI] 소프트웨어 개발자	블리츠다이나믹스	개발·데이터	서울 강동구 외 1	https://www.jobkorea.co.kr/Recruit/GI_Read/46416535?Oem_Code=C1&sc=212
잡코리아	POS SW 개발	㈜오케이포스	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46413452?Oem_Code=C1&sc=212
