| site_name | title | company | record | area |
| --- | --- | --- | --- | --- |
| 원티드 | [AI SDK Software Engineer](https://www.wanted.co.kr/wd/233407) | 가우디오랩 | 경력 5-15년 | 서울 강남구 |
| 인크루트 | [2025년 제1차 채용 공고](https://job.incruit.com/jobdb_info/jobpost.asp?job=2502270002087) | 건설근로자공제회 | 서울 | 경력무관 |
| 원티드 | [Backend Engineer](https://www.wanted.co.kr/wd/246829) | 고위드 | 경력 5-9년 | 서울 강남구 |
| 사람인 | [기술연구소 직무별 공개 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49480818) | 곳간로지스(주) | 3 ~ 15년 · 정규직 | 서울 관악구 |
| 인크루트 | [DigitalFrontierLabs파트 수시채용](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501130001358) | 교보증권 | 경력(연차무관) | 영등포구 |
| 인크루트 | [Software Engineer, ML Compilers, Silicon](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501220002574) | 구글코리아(유) | 경력2년↑ | 강남구 |
| 인크루트 | [[국내 대기업] Backend SW Engineer 채용](https://job.incruit.com/jobdb_info/jobpost.asp?job=2503040000006) | 구루넷 | 서울 | 7~15년 |
| 인크루트 | [인사 정보시스템 개발 및 유지보수/(과장,차장급 ) - 금융그룹 ICT](https://job.incruit.com/jobdb_info/jobpost.asp?job=2502200003564) | 그레이스앤파트너스 | 서울 | 정규직 |
| 원티드 | [[교육솔루션팀] 백엔드 개발자 (3년차 이상)](https://www.wanted.co.kr/wd/266464) | 그렙(프로그래머스) | 경력 3-7년 | 서울 서초구 |
| 원티드 | [[프로그래머스] 백엔드 개발자(공통플랫폼팀)](https://www.wanted.co.kr/wd/246051) | 그렙(프로그래머스) | 경력 3-10년 | 서울 서초구 |
| 원티드 | [[프로그래머스] AI 개발자(감독솔루션팀)](https://www.wanted.co.kr/wd/268620) | 그렙(프로그래머스) | 경력 3-10년 | 서울 서초구 |
| 잡코리아 | [백엔드 개발자 (3년이상)](https://www.jobkorea.co.kr/Recruit/GI_Read/46231027?Oem_Code=C1&sc=212) | 그로들 | 개발·데이터 | 서울 강남구 |
| 사람인 | [백엔드 개발자 (4년 이상)](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49740367) | 글로지(주) | 4 ~ 7년 · 정규직 | 서울전체 외 |
| 잡코리아 | [VDI 운영 엔지니어](https://www.jobkorea.co.kr/Recruit/GI_Read/46204005?Oem_Code=C1&sc=212) | 나무기술㈜ | 개발·데이터 | 서울 강서구 외 1 |
| 잡코리아 | [클라우드/가상화 관리 시스템 백엔드 개발자](https://www.jobkorea.co.kr/Recruit/GI_Read/46498609?Oem_Code=C1&sc=212) | 나무기술㈜ | 개발·데이터 | 서울 강서구 |
| 인크루트 | [[NICE디앤알] 웹개발자 채용(경력)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501140001332) | 나이스디앤알(주) | 경력1~5년 | 서대문구 |
| 인크루트 | [[서울 성수] 우량 통신기업 풀스택(Fullstack) 개발자 채용](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501260000161) | 넛지 | 경력5~10년 | 성동구 |
| 인크루트 | [[서울 성수] 우량 통신기업 풀스택(Fullstack) 개발 팀장 채용](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501260000163) | 넛지 | 경력10~20년 | 성동구 |
| 인크루트 | [[서울 성수] 데이터시각화 개발 프로젝트 리더(팀장)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2502160000102) | 넛지 | 서울 | 10년↑ |
| 사람인 | [[넛지헬스케어] 백엔드/서버 개발자](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49523351) | 넛지헬스케어(주) | 경력 3년↑ · 정규직 | 서울 강남구 |
| 사람인 | [웹개발 / 서비스기획 경력직 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49538689) | 네이버시스템(주) | 경력 3년↑ · 정규직 | 서울 송파구 |
| 원티드 | [SW주니어 개발자 (3년이상)](https://www.wanted.co.kr/wd/265873) | 넥스트리 | 경력 3-10년 | 서울 금천구 |
| 인크루트 | [Back Office 시스템 개발자 모집](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501140000207) | 넷마블컴퍼니(주) | 경력3년↑ | 구로구 |
| 원티드 | [백엔드 개발자 (Spring Framework)](https://www.wanted.co.kr/wd/215761) | 누아 | 경력 5-15년 | 서울 중구 |
| 원티드 | [풀스택 웹 개발자 (책임급)](https://www.wanted.co.kr/wd/250015) | 뉴스젤리(Newsjelly) | 경력 3년 이상 | 서울 성동구 |
| 원티드 | [웹 백엔드 개발자 (2년 이상)](https://www.wanted.co.kr/wd/240744) | 뉴스젤리(Newsjelly) | 경력 2년 이상 | 서울 성동구 |
| 인크루트 | [IT 구축 및 운영](https://job.incruit.com/jobdb_info/jobpost.asp?job=2502060000336) | 님버스테크(주) | 서울 | 정규직 |
| 원티드 | [PHP 그누보드, 리액트 일렉트론 개발자](https://www.wanted.co.kr/wd/225860) | 더이팩토리 | 경력 3-10년 | 서울 구로구 |
